wsif_year,school_organization_id,school_name,student_group,school_level,regular_attendance_numerator,regular_attendance_denominator,regular_attendance_rate
2017,"103,916",Palouse at Garfield Middle School,All Students,Middle,106,121,0.87603305785124
2017,"103,145",Palouse High School,All Students,High,55,162,0.339506172839506
2017,"100,777",Palouse Junction High School,All Students,High,106,143,0.741258741258741
2017,"100,369",Park Middle School,All Students,Middle,2204,2522,0.87390959555908
2017,"104,156",Park Place Middle School,All Students,Middle,2112,2395,0.881837160751566
2017,"100,762",Pasco Senior High School,All Students,High,4922,6331,0.777444321592166
2017,"101,961",Pateros High School,All Students,High,383,433,0.884526558891455
2017,"102,251",Peninsula High School,All Students,High,3505,4294,0.816255239869586
2017,"102,277",Perry G Keithley Middle School,All Students,Middle,2083,2282,0.912795793163891
2017,"104,484",Phoenix High School,All Students,High,67,173,0.38728323699422
2017,"101,472",Pine Lake Middle School,All Students,Middle,2596,2735,0.949177330895795
2017,"102,024",Pioneer Middle,All Students,Middle,2187,2432,0.899259868421053
2017,"101,924",Pioneer Middle School,All Students,Middle,986,1174,0.839863713798978
2017,"103,017",Pioneer Middle School,All Students,Middle,1810,2054,0.881207400194742
2017,"100,466",Pioneer Middle School,All Students,Middle,1658,2007,0.826108619830593
2017,"100,642",Pleasant Valley Middle,All Students,Middle,1369,1551,0.882656350741457
2017,"100,790",Pomeroy Jr Sr High School,All Students,High,468,610,0.767213114754098
2017,"100,480",Port Angeles High School,All Students,High,2753,3530,0.779886685552408
2017,"102,667",Port Susan Middle School,All Students,Middle,1330,1548,0.859173126614987
2017,"100,962",Port Townsend High School,All Students,High,932,1148,0.81184668989547
